Construction Type,Building Area (sq ft),Number of Floors,Number of Rooms,Number of Bathrooms,Flooring Type,Ceiling Height,Roof Type,Foundation Type,Company,Labor Charges,Bid Amount,Project Duration (Months)
Industrial,4058,6,11,3,Carpet,10,Pitched,Basement,Company B,16819,336491,26
Residential,4733,4,9,3,Wood,14,Pitched,Slab,Company B,32481,119322,7
Residential,3647,4,11,4,Carpet,8,Pitched,Slab,Company B,41011,189273,22
Industrial,2239,2,13,4,Carpet,14,Gabled,Crawl Space,Company A,43752,367094,12
Commercial,4242,4,13,2,Tile,13,Gabled,Basement,Company C,36664,254754,8
Residential,855,4,6,1,Carpet,12,Pitched,Crawl Space,Company D,29260,229851,9
Commercial,4124,7,6,2,Wood,14,Pitched,Crawl Space,Company A,32796,133377,23
Commercial,905,5,12,3,Tile,9,Gabled,Basement,Company D,8905,130998,19
Commercial,4001,8,2,2,Carpet,14,Flat,Crawl Space,Company A,14078,155049,25
Residential,1469,7,5,1,Wood,9,Flat,Slab,Company A,16149,274083,33
Commercial,1542,9,9,2,Tile,14,Flat,Crawl Space,Company D,48425,464582,18
Residential,1766,8,1,1,Wood,9,Gabled,Slab,Company C,23804,209168,30
Commercial,1107,9,4,1,Tile,9,Pitched,Slab,Company A,12275,383479,30
Industrial,2938,1,10,3,Tile,12,Flat,Crawl Space,Company D,6016,465089,22
Industrial,4264,3,10,1,Tile,12,Pitched,Slab,Company C,6339,433015,17
Residential,909,5,14,4,Carpet,13,Gabled,Crawl Space,Company B,15724,411415,12
Industrial,4432,9,3,2,Tile,13,Pitched,Crawl Space,Company B,47644,460728,8
Industrial,2715,8,1,2,Carpet,8,Flat,Basement,Company D,13410,213587,10
Commercial,1356,7,1,4,Carpet,9,Gabled,Crawl Space,Company A,14713,363296,26
Residential,904,2,1,4,Carpet,10,Pitched,Slab,Company B,31897,448535,25
Commercial,2847,6,1,3,Carpet,14,Gabled,Crawl Space,Company B,36087,137178,6
Commercial,945,4,13,2,Tile,11,Flat,Crawl Space,Company D,5828,225069,19
Commercial,3563,5,2,4,Carpet,9,Flat,Basement,Company D,35369,445192,32
Commercial,1673,5,11,3,Wood,13,Flat,Basement,Company B,13017,125374,14
Commercial,1098,4,5,2,Wood,12,Gabled,Slab,Company A,8577,342391,26
Commercial,4038,4,2,2,Tile,8,Gabled,Slab,Company D,24042,359006,32
Commercial,1445,4,4,4,Carpet,9,Flat,Slab,Company D,29411,464787,20
Residential,3878,2,9,1,Wood,14,Gabled,Slab,Company A,9805,102441,7
Industrial,3311,1,3,1,Wood,8,Gabled,Basement,Company C,17377,342281,23
Commercial,1583,2,2,4,Carpet,10,Flat,Crawl Space,Company D,18009,371530,9
Commercial,1170,7,4,1,Carpet,10,Flat,Basement,Company B,17189,135985,7
Commercial,1286,1,9,2,Tile,10,Pitched,Basement,Company A,30534,199642,35
Commercial,2837,6,4,3,Wood,10,Flat,Basement,Company B,34791,314347,18
Commercial,3996,4,12,3,Tile,11,Gabled,Crawl Space,Company A,40825,415755,26
Commercial,2160,2,5,4,Wood,8,Pitched,Crawl Space,Company C,31329,483733,23
Industrial,3061,3,4,3,Carpet,9,Gabled,Basement,Company D,44201,475062,25
Industrial,3421,7,13,4,Wood,11,Pitched,Crawl Space,Company C,6142,427765,9
Commercial,1756,6,8,1,Wood,9,Gabled,Basement,Company D,49662,307306,8
Industrial,1180,6,14,2,Wood,12,Pitched,Basement,Company A,46008,159181,31
Residential,4449,8,13,1,Carpet,14,Pitched,Slab,Company B,11293,232272,12
Commercial,1038,8,4,4,Carpet,13,Gabled,Basement,Company C,49500,123190,7
Residential,1905,6,2,2,Wood,11,Pitched,Basement,Company A,5311,454699,19
Residential,2186,1,12,2,Wood,13,Gabled,Basement,Company C,17952,311740,10
Commercial,3352,7,4,2,Carpet,11,Gabled,Slab,Company A,16713,311160,7
Industrial,3049,8,2,1,Carpet,13,Pitched,Crawl Space,Company C,13186,495863,14
Residential,2327,5,9,2,Carpet,14,Flat,Slab,Company A,31240,235738,21
Commercial,2467,4,11,1,Wood,13,Flat,Crawl Space,Company C,25681,439267,33
Residential,4932,7,14,1,Tile,12,Flat,Slab,Company C,45309,145412,27
Residential,3491,6,8,2,Tile,13,Gabled,Crawl Space,Company A,16652,175292,33
Residential,4472,6,9,4,Carpet,11,Gabled,Slab,Company C,13976,401058,35
Residential,2796,3,4,2,Tile,13,Flat,Basement,Company A,5461,167422,36
Industrial,2225,4,1,2,Wood,8,Gabled,Crawl Space,Company C,22413,329464,13
Residential,3612,5,3,1,Tile,14,Flat,Slab,Company D,44754,367630,11
Residential,4047,9,7,2,Tile,13,Gabled,Slab,Company D,43950,130782,8
Residential,3392,8,1,4,Tile,10,Gabled,Slab,Company C,36674,307126,12
Industrial,2290,3,11,2,Carpet,14,Gabled,Crawl Space,Company A,22043,231504,23
Residential,2024,6,8,4,Wood,14,Flat,Basement,Company D,44763,322293,21
Residential,3387,1,9,3,Carpet,13,Pitched,Slab,Company C,25180,155004,9
Industrial,3864,3,8,3,Tile,9,Gabled,Crawl Space,Company C,37703,376098,31
Industrial,1632,7,5,3,Carpet,12,Gabled,Crawl Space,Company A,12797,331021,26
Industrial,3240,7,12,2,Wood,10,Flat,Basement,Company B,42928,151605,9
Residential,2446,2,11,1,Wood,11,Flat,Basement,Company A,49150,178192,21
Industrial,1240,3,14,4,Wood,8,Gabled,Basement,Company B,6625,277271,23
Industrial,2329,7,12,3,Wood,13,Gabled,Crawl Space,Company C,17610,454230,7
Residential,3765,6,13,4,Tile,13,Pitched,Crawl Space,Company B,20141,176690,27
Industrial,3167,7,9,1,Tile,11,Gabled,Basement,Company B,24688,122343,32
Residential,4086,9,4,4,Tile,12,Gabled,Slab,Company A,8109,464576,17
Commercial,2104,8,9,4,Tile,11,Gabled,Basement,Company B,43171,115251,14
Industrial,3834,6,1,3,Tile,8,Pitched,Basement,Company B,44689,271997,12
Commercial,4488,4,12,4,Carpet,14,Gabled,Basement,Company C,32799,215490,13
Residential,4773,9,11,3,Wood,13,Pitched,Basement,Company D,35525,370714,11
Industrial,1985,7,3,1,Tile,14,Flat,Slab,Company A,27195,291518,17
Residential,4062,5,4,3,Wood,11,Gabled,Slab,Company A,15607,244850,34
Commercial,2907,2,11,4,Wood,14,Gabled,Basement,Company D,12238,224337,13
Residential,2640,9,10,1,Tile,11,Gabled,Crawl Space,Company D,5214,314134,15
Industrial,3547,7,1,2,Tile,13,Gabled,Crawl Space,Company D,47846,226765,9
Industrial,3933,9,12,2,Wood,11,Pitched,Slab,Company B,44163,449261,15
Commercial,4220,9,6,1,Wood,13,Flat,Basement,Company C,43638,211369,12
Residential,2265,5,13,1,Wood,11,Flat,Crawl Space,Company A,13101,260066,24
Industrial,4909,7,4,4,Carpet,14,Pitched,Slab,Company C,45849,483862,8
Commercial,3011,5,4,2,Carpet,8,Pitched,Slab,Company B,31567,438081,17
Industrial,3604,3,1,1,Wood,9,Pitched,Slab,Company D,25834,205522,36
Industrial,2343,8,5,2,Carpet,10,Pitched,Slab,Company B,11127,309883,24
Residential,2489,8,9,2,Wood,12,Gabled,Basement,Company D,12184,238706,35
Industrial,2371,9,6,4,Wood,14,Gabled,Slab,Company A,32595,265670,15
Residential,4079,6,8,1,Tile,9,Pitched,Crawl Space,Company B,22782,349539,26
Industrial,4341,2,11,3,Wood,8,Gabled,Basement,Company C,20590,287787,11
Commercial,3823,3,4,1,Tile,12,Gabled,Slab,Company C,31197,234041,25
Industrial,1618,6,9,2,Tile,12,Flat,Crawl Space,Company B,39677,475750,20
Residential,1924,1,7,3,Wood,13,Gabled,Crawl Space,Company B,23228,291298,26
Residential,1929,2,14,3,Carpet,13,Flat,Crawl Space,Company C,23427,282361,36
Commercial,2502,8,14,2,Wood,14,Gabled,Basement,Company B,19213,457240,24
Industrial,2801,8,7,3,Wood,11,Flat,Basement,Company B,41545,202411,16
Industrial,4678,6,8,3,Carpet,10,Flat,Crawl Space,Company B,9740,416218,13
Commercial,2606,3,2,1,Tile,13,Flat,Basement,Company D,9993,214719,15
Industrial,3747,2,12,2,Carpet,10,Flat,Slab,Company C,26181,364242,27
Industrial,4009,6,6,4,Wood,8,Pitched,Slab,Company B,17386,387099,19
Residential,2952,1,7,3,Wood,13,Gabled,Slab,Company C,46860,273855,25
Industrial,1344,6,3,2,Carpet,9,Pitched,Basement,Company A,16344,113759,19
Industrial,3201,9,8,1,Carpet,11,Gabled,Basement,Company B,6726,482892,20
Commercial,3164,7,1,1,Carpet,10,Pitched,Basement,Company D,7010,403157,17
Commercial,2089,9,1,1,Tile,11,Gabled,Crawl Space,Company D,20090,207013,22
Residential,4565,2,10,3,Carpet,9,Pitched,Slab,Company B,24785,224697,15
Industrial,2675,5,3,4,Wood,12,Pitched,Crawl Space,Company B,36861,482983,17
Industrial,1582,9,6,1,Carpet,9,Flat,Crawl Space,Company A,35225,476711,34
Industrial,1339,7,7,4,Wood,12,Pitched,Slab,Company B,27732,177328,36
Residential,3582,9,2,2,Tile,9,Flat,Basement,Company C,40256,312838,24
Residential,3468,6,14,1,Tile,11,Flat,Crawl Space,Company B,15951,142322,34
Commercial,4737,7,6,3,Carpet,9,Pitched,Crawl Space,Company C,43754,495644,36
Residential,3756,5,12,1,Wood,13,Gabled,Basement,Company C,15614,435234,13
Industrial,4522,6,5,3,Tile,10,Pitched,Basement,Company C,37061,296296,35
Industrial,4667,1,6,2,Carpet,10,Flat,Slab,Company C,42630,128468,32
Residential,2633,1,1,4,Tile,8,Flat,Crawl Space,Company C,44299,248077,21
Industrial,2946,2,14,4,Carpet,14,Pitched,Slab,Company B,38725,473624,23
Industrial,2970,4,10,4,Wood,13,Pitched,Crawl Space,Company B,46876,394240,25
Residential,4191,9,7,1,Carpet,10,Pitched,Slab,Company B,36547,332031,32
Residential,2416,7,8,1,Wood,10,Pitched,Slab,Company D,41715,240511,15
Industrial,1716,6,14,2,Tile,12,Gabled,Basement,Company C,13673,442469,26
Industrial,3556,1,7,4,Wood,13,Flat,Crawl Space,Company A,44573,312976,36
Industrial,2736,5,9,2,Wood,11,Pitched,Slab,Company B,44506,283024,16
Commercial,4842,4,1,3,Tile,11,Pitched,Basement,Company B,41735,376797,11
Commercial,3891,5,10,1,Wood,12,Pitched,Basement,Company D,16725,228348,33
Commercial,1768,9,9,4,Wood,10,Flat,Basement,Company B,20912,402845,35
Residential,4164,3,11,1,Carpet,9,Flat,Crawl Space,Company C,16423,435568,34
Commercial,4003,4,11,4,Wood,12,Flat,Slab,Company B,40266,228753,23
Residential,1689,8,13,4,Carpet,11,Pitched,Crawl Space,Company C,10682,117277,18
Residential,1592,3,3,1,Wood,8,Flat,Crawl Space,Company B,6133,394226,16
Commercial,4258,3,2,1,Tile,11,Pitched,Basement,Company B,37847,386546,19
Commercial,1781,9,6,2,Wood,9,Pitched,Crawl Space,Company C,45452,478865,19
Commercial,4331,5,11,1,Wood,11,Gabled,Crawl Space,Company C,42689,295502,28
Industrial,4329,1,5,1,Wood,12,Gabled,Slab,Company B,43800,449858,30
Commercial,1601,7,4,1,Carpet,8,Gabled,Basement,Company C,48481,199597,30
Industrial,842,7,4,3,Tile,11,Flat,Basement,Company D,28656,167136,9
Residential,4149,6,8,3,Tile,12,Gabled,Slab,Company C,39877,130064,15
Industrial,2577,6,10,3,Wood,14,Flat,Crawl Space,Company C,27534,322176,25
Commercial,4001,3,13,2,Wood,12,Pitched,Slab,Company A,11268,401104,32
Residential,1149,3,3,2,Carpet,14,Gabled,Slab,Company C,43419,269635,23
Residential,2367,9,13,4,Tile,12,Gabled,Crawl Space,Company C,19274,187891,14
Residential,1929,1,1,2,Wood,8,Flat,Basement,Company A,43255,172213,26
Industrial,3759,7,5,1,Wood,12,Flat,Slab,Company C,17102,178754,18
Commercial,4587,7,8,4,Tile,8,Gabled,Crawl Space,Company A,48614,252971,28
Residential,2580,8,3,1,Wood,13,Flat,Basement,Company B,34104,438666,24
Residential,1383,6,2,4,Wood,14,Flat,Slab,Company B,21642,114756,13
Residential,4177,8,1,2,Tile,9,Flat,Slab,Company D,25341,279020,16
Industrial,4201,1,13,3,Carpet,9,Pitched,Basement,Company B,36167,329131,28
Industrial,3985,1,4,1,Wood,9,Gabled,Slab,Company C,9653,269729,13
Commercial,2994,9,11,4,Wood,13,Flat,Slab,Company A,43736,332787,23
Industrial,1962,4,2,3,Tile,12,Flat,Crawl Space,Company B,28410,290144,29
Residential,1098,3,14,1,Tile,8,Pitched,Slab,Company C,35613,226393,22
Commercial,4147,6,8,1,Carpet,13,Pitched,Slab,Company B,24891,346075,34
Residential,2739,9,11,3,Carpet,9,Pitched,Crawl Space,Company D,29188,457416,15
Residential,1588,4,13,2,Wood,10,Pitched,Crawl Space,Company B,45898,459330,27
Industrial,3689,9,10,3,Carpet,9,Gabled,Basement,Company B,13623,486263,35
Commercial,2177,5,12,2,Carpet,12,Gabled,Basement,Company C,48421,448403,27
Industrial,2749,7,9,4,Carpet,14,Flat,Basement,Company A,14824,426757,31
Industrial,4072,3,13,2,Wood,13,Gabled,Crawl Space,Company D,38578,317561,36
Commercial,1677,3,10,4,Carpet,10,Flat,Slab,Company A,11281,319315,15
Residential,4542,3,1,4,Carpet,13,Gabled,Slab,Company A,16590,266067,28
Residential,2377,8,2,4,Carpet,11,Gabled,Slab,Company A,48983,360798,9
Commercial,3939,6,6,4,Tile,10,Gabled,Slab,Company D,45799,148910,13
Residential,3292,9,13,1,Carpet,11,Flat,Crawl Space,Company D,29526,159461,7
Commercial,3555,9,10,4,Carpet,10,Flat,Basement,Company C,31095,166087,19
Commercial,2703,8,12,1,Tile,8,Pitched,Basement,Company C,18122,377512,13
Industrial,2182,1,7,1,Tile,10,Flat,Basement,Company C,35163,137008,28
Commercial,3122,6,2,4,Wood,9,Pitched,Crawl Space,Company D,8297,412982,31
Industrial,3356,4,8,2,Wood,14,Flat,Basement,Company D,12406,360921,27
Residential,2661,4,13,2,Tile,11,Flat,Crawl Space,Company B,13365,324990,19
Residential,2666,3,10,3,Wood,11,Gabled,Slab,Company A,36912,128751,13
Residential,4847,9,9,1,Carpet,13,Flat,Crawl Space,Company C,20751,290002,23
Residential,3975,2,8,1,Wood,9,Gabled,Crawl Space,Company B,31121,467416,13
Industrial,1898,1,9,2,Carpet,8,Flat,Basement,Company D,45037,102645,15
Residential,2534,3,6,1,Carpet,10,Pitched,Slab,Company B,40332,257327,9
Commercial,4216,4,11,2,Carpet,8,Flat,Crawl Space,Company B,35793,431948,16
Commercial,1480,4,7,3,Tile,9,Gabled,Crawl Space,Company D,46561,161628,19
Commercial,2870,6,6,4,Wood,14,Gabled,Crawl Space,Company A,38871,397739,28
Industrial,2529,1,7,4,Wood,10,Gabled,Crawl Space,Company D,34114,271208,33
Residential,2991,1,3,4,Tile,9,Gabled,Basement,Company C,48449,485029,21
Residential,1467,2,4,3,Tile,11,Flat,Basement,Company B,14104,431651,15
Residential,2412,4,9,1,Wood,11,Gabled,Basement,Company C,8355,137477,20
Industrial,1480,7,3,3,Tile,11,Gabled,Slab,Company B,31769,230512,13
Commercial,1772,6,2,1,Tile,12,Flat,Basement,Company B,40635,316953,20
Commercial,3646,9,12,1,Carpet,12,Gabled,Crawl Space,Company C,13761,474519,24
Residential,2932,7,13,4,Carpet,11,Pitched,Crawl Space,Company B,32304,218503,33
Commercial,3263,5,11,2,Carpet,14,Pitched,Slab,Company D,37458,237378,13
Commercial,3329,6,7,2,Tile,12,Gabled,Slab,Company D,37481,356596,36
Industrial,3303,9,6,4,Tile,14,Pitched,Crawl Space,Company B,44405,345876,22
Industrial,3983,1,3,1,Carpet,12,Gabled,Basement,Company B,13782,102330,30
Industrial,4833,9,6,3,Carpet,13,Flat,Basement,Company D,40584,468778,23
Industrial,3967,6,7,4,Wood,9,Pitched,Crawl Space,Company A,48360,354277,7
Residential,3797,4,6,4,Carpet,13,Pitched,Slab,Company B,20432,484186,10
Industrial,4027,5,1,3,Carpet,14,Flat,Crawl Space,Company D,37363,149704,21
Commercial,2952,1,12,1,Wood,10,Pitched,Slab,Company A,40472,395486,29
Residential,2528,7,14,4,Wood,11,Gabled,Basement,Company A,9558,253410,22
Commercial,2824,8,1,4,Wood,13,Gabled,Basement,Company C,32907,445516,20
Commercial,1129,5,9,1,Wood,13,Pitched,Crawl Space,Company A,36844,218039,24
Commercial,3286,2,6,3,Tile,12,Flat,Basement,Company B,34509,178540,29
Industrial,1955,8,12,3,Wood,9,Gabled,Crawl Space,Company A,7454,239711,28
Industrial,2690,7,2,2,Wood,9,Gabled,Crawl Space,Company C,39397,136174,32
Residential,2985,9,11,2,Tile,13,Pitched,Slab,Company D,37128,313448,27
Residential,3117,4,1,3,Wood,10,Flat,Crawl Space,Company C,29060,496582,20
Industrial,4421,9,11,2,Wood,14,Gabled,Crawl Space,Company D,24132,128476,35
Commercial,3311,4,12,2,Wood,9,Flat,Basement,Company B,47901,282737,18
Residential,1249,3,2,1,Tile,8,Pitched,Slab,Company D,38984,226975,22
Industrial,2154,3,8,4,Carpet,8,Pitched,Slab,Company A,36610,212116,25
Industrial,2093,2,5,2,Wood,11,Gabled,Slab,Company D,31424,240994,36
Industrial,3265,3,7,2,Wood,13,Flat,Basement,Company A,40864,437755,17
Commercial,3902,8,7,1,Wood,10,Flat,Slab,Company C,5921,197231,8
Industrial,2649,8,2,3,Wood,13,Pitched,Basement,Company C,36451,355401,33
Industrial,3975,2,4,2,Tile,8,Pitched,Slab,Company D,21900,142792,15
Industrial,3999,2,2,4,Carpet,14,Pitched,Crawl Space,Company C,25335,385230,15
Industrial,2033,2,7,2,Wood,10,Pitched,Slab,Company C,32797,206617,28
Residential,2237,7,5,4,Wood,14,Pitched,Basement,Company C,23888,129334,18
Residential,4152,6,1,3,Tile,11,Gabled,Basement,Company A,44550,197567,29
Industrial,4830,1,2,2,Carpet,9,Gabled,Crawl Space,Company D,34407,473833,33
Commercial,1052,2,6,4,Carpet,9,Flat,Crawl Space,Company A,16077,311321,12
Residential,818,1,14,4,Carpet,9,Gabled,Basement,Company D,37528,231063,10
Industrial,3559,7,4,4,Wood,8,Gabled,Slab,Company A,10376,356357,14
Residential,1022,6,7,3,Wood,14,Gabled,Crawl Space,Company B,13337,210264,9
Residential,802,2,2,4,Wood,10,Flat,Crawl Space,Company B,25042,230725,8
Commercial,2059,2,13,1,Tile,8,Gabled,Slab,Company B,40850,183020,16
Industrial,3368,2,12,3,Tile,12,Flat,Basement,Company A,40419,119214,29
Industrial,2685,8,2,4,Tile,10,Flat,Crawl Space,Company D,44691,265388,22
Commercial,2099,7,12,3,Wood,11,Gabled,Crawl Space,Company A,34263,384801,31
Commercial,3138,1,6,3,Wood,14,Gabled,Basement,Company D,44925,275164,7
Industrial,1876,4,8,1,Wood,8,Gabled,Slab,Company B,40577,368712,31
Industrial,4558,4,13,4,Carpet,9,Pitched,Slab,Company A,17141,491775,33
Commercial,3981,7,1,3,Tile,9,Flat,Crawl Space,Company D,22661,469117,26
Residential,1747,2,5,3,Tile,9,Flat,Basement,Company D,46574,442613,14
Residential,4538,4,1,4,Carpet,8,Pitched,Slab,Company C,30479,294051,11
Commercial,3531,1,11,1,Carpet,14,Pitched,Basement,Company D,46961,137812,28
Residential,4807,4,6,2,Carpet,8,Gabled,Crawl Space,Company B,35505,323703,36
Commercial,1669,1,7,4,Wood,9,Pitched,Slab,Company A,48149,145712,17
Residential,893,2,6,2,Carpet,9,Pitched,Basement,Company C,25872,303917,24
Residential,3787,2,14,4,Wood,9,Pitched,Basement,Company B,23514,133511,26
Industrial,2575,3,13,4,Wood,12,Flat,Crawl Space,Company A,8425,451718,34
Industrial,3060,8,9,3,Tile,8,Pitched,Slab,Company A,16685,318152,9
Residential,1235,6,3,4,Carpet,9,Gabled,Crawl Space,Company C,16036,362973,16
Residential,3944,6,8,1,Wood,11,Flat,Crawl Space,Company B,14967,408019,10
Industrial,4387,9,3,1,Wood,9,Flat,Slab,Company A,32888,288455,25
Industrial,876,8,11,4,Carpet,14,Pitched,Basement,Company C,12511,263874,32
Industrial,1615,2,12,3,Wood,8,Pitched,Basement,Company A,9201,394361,11
Commercial,1567,6,13,3,Wood,11,Pitched,Basement,Company A,31347,485118,25
Residential,4485,1,13,2,Wood,14,Pitched,Slab,Company B,47105,317056,27
Industrial,905,9,7,4,Carpet,13,Gabled,Crawl Space,Company B,35981,122192,21
Residential,4716,4,14,2,Wood,13,Pitched,Basement,Company A,13961,197982,16
Commercial,3673,4,13,3,Tile,13,Gabled,Basement,Company D,46841,472746,29
Commercial,4146,9,5,1,Carpet,14,Pitched,Slab,Company A,40174,373146,14
Industrial,3948,3,12,3,Tile,8,Pitched,Slab,Company D,8358,296857,27
Commercial,3948,5,13,1,Tile,8,Gabled,Crawl Space,Company B,9791,155887,28
Residential,2265,1,1,2,Tile,14,Pitched,Crawl Space,Company A,11823,238629,7
Industrial,3387,6,11,3,Wood,8,Flat,Basement,Company A,14867,363009,9
Residential,1044,3,12,1,Wood,10,Gabled,Basement,Company A,20096,103880,21
Residential,3425,1,4,2,Tile,14,Gabled,Slab,Company C,31336,234815,9
Commercial,4649,6,14,3,Tile,11,Flat,Crawl Space,Company C,35392,318132,33
Commercial,2205,2,13,4,Carpet,12,Gabled,Basement,Company B,21750,130538,33
Commercial,1781,8,11,3,Tile,12,Pitched,Slab,Company A,15924,360920,14
Commercial,4608,2,9,2,Wood,10,Gabled,Crawl Space,Company A,9120,465815,27
Commercial,941,4,8,3,Tile,8,Gabled,Crawl Space,Company D,26649,455204,13
Industrial,1692,3,3,2,Tile,12,Flat,Crawl Space,Company C,38437,385083,31
Residential,3199,9,2,1,Carpet,11,Gabled,Slab,Company B,7833,311422,12
Residential,3760,2,11,3,Tile,14,Pitched,Crawl Space,Company B,6670,121105,35
Residential,2999,3,9,2,Carpet,9,Gabled,Slab,Company A,31190,350314,23
Residential,2269,7,1,2,Carpet,14,Gabled,Slab,Company A,10508,403354,26
Commercial,3500,4,9,4,Tile,11,Flat,Slab,Company C,41143,311306,14
Residential,3805,6,12,1,Tile,8,Flat,Crawl Space,Company D,9483,290277,31
Industrial,4174,3,7,4,Wood,11,Gabled,Basement,Company C,45588,365114,15
Industrial,1455,1,12,4,Wood,13,Pitched,Basement,Company B,18298,205309,32
Residential,3568,6,2,3,Carpet,8,Flat,Slab,Company C,35313,202959,27
Residential,842,4,11,2,Carpet,11,Flat,Slab,Company C,5793,101490,16
Industrial,3111,2,5,2,Wood,10,Pitched,Basement,Company B,18843,106605,30
Industrial,2460,7,14,2,Carpet,14,Flat,Crawl Space,Company B,41063,124633,30
Commercial,3024,5,2,3,Wood,11,Gabled,Basement,Company B,11769,446412,7
Industrial,2910,6,5,3,Carpet,14,Flat,Basement,Company A,24940,284475,32
Commercial,1757,6,7,1,Wood,13,Pitched,Crawl Space,Company D,27464,188345,24
Commercial,1360,9,5,4,Wood,12,Gabled,Slab,Company A,5984,430490,15
Commercial,2130,2,2,1,Carpet,9,Pitched,Basement,Company C,37216,148445,20
Commercial,2112,6,11,1,Carpet,10,Pitched,Slab,Company D,40508,451427,23
Commercial,2621,9,14,3,Carpet,11,Pitched,Crawl Space,Company C,41482,198498,10
Residential,3802,4,5,2,Tile,8,Pitched,Crawl Space,Company C,14620,345153,17
Industrial,4203,6,12,3,Tile,10,Flat,Crawl Space,Company A,30368,247348,13
Commercial,3451,7,12,3,Carpet,12,Flat,Crawl Space,Company D,18811,143984,11
Industrial,2614,1,10,3,Carpet,9,Flat,Crawl Space,Company A,26870,289345,29
Industrial,2541,5,14,1,Carpet,13,Flat,Slab,Company B,14703,481483,6
Commercial,4608,4,6,2,Carpet,9,Gabled,Crawl Space,Company B,46692,103403,30
Residential,3677,2,5,3,Wood,11,Flat,Slab,Company A,21290,494968,18
Commercial,4070,2,2,1,Tile,13,Pitched,Crawl Space,Company A,10182,406452,20
Residential,4883,2,6,3,Carpet,12,Gabled,Slab,Company A,34282,239731,16
Industrial,1545,7,6,4,Tile,12,Flat,Crawl Space,Company C,12762,416084,35
Residential,1357,4,12,2,Tile,9,Flat,Crawl Space,Company D,18428,481694,28
